Player Name,Franchise Name,Player Category,Base Price,Final Selling Price,Retained,Player Profile
Virat Kohli,RCB,BAT,-,21,TRUE,Virat Kohli
Rajat Patidar,RCB,BAT,-,11,TRUE,Rajat Patidar
Yash Dayal,RCB,BOWL,-,5,TRUE,Yash Dayal
Jasprit Bumrah,MI,BOWL,-,18,TRUE,Jasprit Bumrah
Suryakumar Yadav,MI,BAT,-,16.35,TRUE,Suryakumar Yadav
Hardik Pandya,MI,AR,-,16.35,TRUE,Hardik Pandya
Rohit Sharma,MI,BAT,-,16.3,TRUE,Rohit Sharma
Tilak Varma,MI,AR,-,8,TRUE,Tilak Varma
Heinrich Klaasen,SRH,BAT,-,23,TRUE,Heinrich Klaasen
Pat Cummins,SRH,AR,-,18,TRUE,Pat Cummins
Abhishek Sharma,SRH,AR,-,14,TRUE,Abhishek Sharma
Travis Head,SRH,BAT,-,14,TRUE,Travis Head
Nitish Kumar Reddy,SRH,AR,-,6,TRUE,Nitish Kumar Reddy
Ruturaj Gaikwad,CSK,BAT,-,18,TRUE,Ruturaj Gaikwad
Ravindra Jadeja,CSK,AR,-,18,TRUE,Ravindra Jadeja
Matheesha Pathirana,CSK,BOWL,-,13,TRUE,Matheesha Pathirana
Shivam Dube,CSK,AR,-,12,TRUE,Shivam Dube
MS Dhoni,CSK,BAT,-,4,TRUE,MS Dhoni
Axar Patel,DC,AR,-,16.5,TRUE,Axar Patel
Kuldeep Yadav,DC,BOWL,-,13.25,TRUE,Kuldeep Yadav
Tristan Stubbs,DC,BAT,-,10,TRUE,Tristan Stubbs
Abishek Porel,DC,BAT,-,4,TRUE,Abishek Porel
Rinku Singh,KKR,BAT,-,13,TRUE,Rinku Singh
Varun Chakravarthy,KKR,AR,-,12,TRUE,Varun Chakravarthy
Sunil Narine,KKR,BOWL,-,12,TRUE,Sunil Narine
Andre Russell,KKR,AR,-,12,TRUE,Andre Russell
Harshit Rana,KKR,BOWL,-,4,TRUE,Harshit Rana
Ramandeep Singh,KKR,AR,-,4,TRUE,Ramandeep Singh
Sanju Samson,RR,BAT,-,18,TRUE,Sanju Samson
Yashasvi Jaiswal,RR,AR,-,18,TRUE,Yashasvi Jaiswal
Riyan Parag,RR,AR,-,14,TRUE,Riyan Parag
Dhruv Jurel,RR,BAT,-,14,TRUE,Dhruv Jurel
Shimron Hetmyer,RR,BAT,-,11,TRUE,Shimron Hetmyer
Sandeep Sharma,RR,BOWL,-,4,TRUE,Sandeep Sharma
Rashid Khan,GT,BOWL,-,18,TRUE,Rashid Khan
